id,sire,dam
39F,I78,X29
79F,B76,Z86
21F,S18,A71
73E,S78,R79
98E,I85,V91
89F,X82,Z99
22F,R70,X44
78E,L83,Z92
58E,N46,X20
97E,R70,R71
96E,O08,R65
24F,A98,X87
80G,V45,35B
70H,V45,O38
79G,J19,O33
49G,S18,F25
40G,S79,J79
48H,L34,Z82
00G,E94,57A
33G,X27,X55
30H,I64,L97
37H,X79,40A
99G,B71,91A
11H,O23,K80
27H,G07,47A
71H,I64,Z73
20G,V83,Z78
69G,C98,Z72
81G,T88,32A
01G,K32,V37
39H,L34,G80
71G,Z90,897
12H,V45,V44
56G,R70,X97
57G,Z01,R79
47H,N46,S37
97F,I20,Z08
72G,A92,V91
23H,L43,O44
46G,F46,R65
68G,L07,29B
25H,X61,E55
31G,Z76,X67
50G,O08,O43
59G,K42,V72
70G,H89,42A
49H,V45,G11
78G,C56,33C
16G,X76,N05
72H,O98,82A
98G,V45,Z53
03G,R70,R71
04G,S76,18A
85I,V45,Z99
47I,I85,X44
51I,T82,V82
11I,O23,X17
25J,L64,X87
44J,51A,48B
57I,X76,O55
86I,51A,X46
33J,X57,X51
13J,O08,X29
80H,C61,37B
84I,I64,H64
37J,D52,T94
91I,J19,Z86
07J,L83,31A
02I,S18,O52
16I,O23,Z07
71I,23A,40A
23I,O15,10C
08I,O19,01B
79H,O23,R65
88I,K42,23B
46J,V45,O36
81I,983,06A
19J,51A,N86
36J,X58,89A
84H,V45,C63
85H,X61,J01
44I,R70,X97
62I,O23,X86
42I,S18,S16
65I,S18,I65
10I,R70,R71
54I,51A,00B
38I,X16,X55
90I,H79,Z92
32I,V45,32A
45I,O23,04A
22I,Z89,68C
33I,85A,47A
43J,O23,H74
82I,L34,I56
30I,G09,94B
99H,O23,29B
70I,R70,X20
48J,00A,34B
59I,R70,O43
89H,G07,93A
11J,85A,G80
01I,L43,13C
50J,L22,V91
38J,V79,Z08
72I,S60,91A
