Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
60T|2011,60T,2011,F,64.97,,Male,8.9,24.4444,14.6341,0.840133154,0,0,0.003,0.003,0.033,0.028
24B|2011,24B,2011,F,30.59,,Female,18.8,82.3529,72.0588,0.854993217,3.066,3.413,0.066,0.002,0.033,0.022
36Z|2011,36Z,2011,F,57.69,,Female,7.8,16.1765,35.2941,0.838713774,2.234,1.198,0.032,0.008,0.014,0.026
40L|2011,40L,2011,F,25.84,,Female,11.8,30.8824,41.1765,0.847775406,2.021,1.736,0.089,0.003,0.012,0.017
77I|2011,77I,2011,F,59.35,,Male,13.8,20,29.2683,0.819373489,0,0,0.005,0,0.014,0.02
87K|2011,87K,2011,F,15.75,,Female,12.9,10.2941,22.0588,0.911992075,0.419,0.344,0.048,0.013,0.004,0.043
14L|2011,14L,2011,F,21.37,,Female,12.9,80.8824,80.8824,0.861539228,2.435,1.155,0.107,0.009,0.06,0.035
28J|2011,28J,2011,F,1.36,,Female,13.6,83.8235,79.4118,0.857844374,0.612,2.706,0.121,0.008,0.067,0.057
55V|2011,55V,2011,F,31.68,,Female,7.9,23.5294,8.8235,0.919501794,1.813,1.525,0.064,0.004,0.008,0.031
14I|2011,14I,2011,F,50.08,,Female,13.6,100,94.1176,0.919288043,2.13,1.135,0.127,0.009,0.077,0.017
1B1|2011,1B1,2011,F,74.66,,Male,7,48.8889,17.0732,0.808939572,2.332,0.077,0.006,0.007,0.013,0.026
29Z|2011,29Z,2011,F,56.85,,Female,7.9,94.1176,98.5294,0.970951455,1.291,0.495,0.101,0.017,0.105,0.025
68J|2011,68J,2011,F,16.21,,Female,13.3,92.6471,92.6471,0.935203,1.861,1.6,0.092,0.019,0.07,0.045
82A|2011,82A,2011,F,27.65,,Female,18.7,69.1176,70.5882,0.858863161,2.085,0.724,0.07,0.006,0.015,0.023
2A2|2011,2A2,2011,F,99.58,,Female,6.9,79.4118,89.7059,0.909504046,2.372,1.208,0.083,0.027,0.028,0.03
30L|2011,30L,2011,F,38.77,,Male,11.8,80,97.561,0.94944257,0,1.636,0.003,0.002,0.126,0.01
35N|2011,35N,2011,F,25.13,,Female,11.8,89.7059,86.7647,0.890828048,2.06,1.565,0.113,0.015,0.018,0.023
74S|2011,74S,2011,F,52.05,,Female,8.8,2.9412,5.8824,0.927970383,0.79,1.297,0.027,0.01,0,0.033
05I|2011,05I,2011,F,36.26,,Male,13.1,55.5556,41.4634,0.793840995,,,,,,
07T|2011,07T,2011,F,49.09,,Male,8.2,44.4444,63.4146,0.535437267,,,,,,
18Z|2011,18Z,2011,F,27.26,,Male,7.1,28.8889,48.7805,0.766689295,,,,,,
O34|2011,O34,2011,F,27.7,,Male,23.2,86.6667,78.0488,0.891129644,,,,,,
46Z|2011,46Z,2011,F,105.88,,Male,6.4,51.1111,34.1463,0.785335636,,,,,,
17C|2012,17C,2012,F,20.14,43.94,Female,18.5,86.4407,92.8571,0.731455545,1.637,0.71,0.23,0.013,0.017,0.013
22R|2012,22R,2012,F,39.13,77.13,Male,10.7,58.0645,60.7143,0.535467737,0.626,1.827,0.007,0.005,0.011,0
29B|2012,29B,2012,F,27.52,72.56,Female,19.5,8.4746,5.3571,0.740408264,1.962,1.546,0.023,0,0,0.024
29H|2012,29H,2012,F,38.18,68.72,Male,15.5,51.6129,71.4286,0.535643142,0.854,2.767,0.02,0.004,0.01,0
43J|2012,43J,2012,F,16.31,39.49,Female,14.5,94.9153,62.5,0.544474768,2.146,2.899,0.196,0.046,0.004,0.003
50I|2012,50I,2012,F,24.35,70.11,Female,14.6,52.5424,73.2143,0.606771338,1.773,2.184,0.043,0.003,0.007,0
8A7|2012,8A7,2012,F,39.96,82.58,Male,7.7,74.1935,53.5714,0.535467737,3.056,7.269,0.035,0,0.014,0
90D|2012,90D,2012,F,34.9,106.19,Female,17.5,45.7627,94.6429,0.740418925,0.351,0.772,0.027,0.007,0.019,0.003
X44|2012,X44,2012,F,23.17,30.89,Female,21.4,27.1186,53.5714,0.517739662,,,,,,
Z46|2012,Z46,2012,F,17.67,81.3,Male,20.4,0,17.8571,0.606951352,,,,,,
0A9|2012,0A9,2012,F,21.7,75.37,Female,7.6,6.7797,3.5714,0.776309937,7.455,1.431,0.108,0.012,0,0.01
20F|2012,20F,2012,F,27.44,59.95,Female,16.5,40.678,82.1429,0.67816537,3.029,3.733,0.06,0.043,0.003,0.01
34P|2012,34P,2012,F,19.17,81.9,Male,11.6,38.7097,14.2857,0.624822434,,,,,,
36Z|2012,36Z,2012,F,28.87,71.38,Female,8.5,13.5593,28.5714,0.633313576,9.704,1.017,0.034,0.014,0.01,0.011
60T|2012,60T,2012,F,52.29,83.56,Male,9.7,77.4194,25,0.641985797,0,0.68,0.027,0,0.003,0.003
61J|2012,61J,2012,F,23.94,54.97,Female,13.4,42.3729,83.9286,0.678090476,6.525,1.983,0.08,0.035,0.007,0.01
62H|2012,62H,2012,F,48.62,101.41,Female,15.6,81.3559,66.0714,0.731349399,3.96,4.537,0.069,0.06,0.017,0.003
6C0|2012,6C0,2012,F,29.91,79.75,Female,6.4,89.8305,87.5,0.695751263,4.401,2.955,0.275,0.058,0.009,0.006
74S|2012,74S,2012,F,17.08,73.22,Female,9.5,10.1695,10.7143,0.713996882,3.006,0.231,0.05,0.036,0,0.014
03J|2012,03J,2012,F,20.04,89.07,Female,14.6,5.0847,1.7857,0.811987647,3.759,0.632,0.098,0.008,0,0.02
28B|2012,28B,2012,F,12.7,47.75,Male,19.5,45.1613,35.7143,0.553281776,0,1.598,0,0,0,0
60P|2012,60P,2012,F,40.69,133.8,Female,11.6,83.0508,42.8571,0.535412728,2.659,0.773,0.101,0.034,0.003,0.01
73B|2012,73B,2012,F,21.14,53.22,Female,18.5,57.6271,50,0.562062967,0,0.669,0.064,0.018,0.007,0.003
79Z|2012,79Z,2012,F,26.69,88.98,Female,7.7,50.8475,60.7143,0.641957041,2.786,5.753,0.054,0.012,0.007,0.01
